Number of Records,Year,Divorce Rate,State,State_name
1,1990,5.5,AK,Alaska
1,1990,6.1,AL,Alabama
1,1990,6.9,AR,Arkansas
1,1990,6.9,AZ,Arizona
1,1990,4.3,CA,California
1,1990,5.5,CO,Colorado
1,1990,3.2,CT,Connecticut
1,1990,4.4,DC,Delaware
1,1990,4.5,DE,District of Columbia
1,1990,6.3,FL,Florida
1,1990,5.5,GA,Georgia
1,1990,4.6,HI,Hawaii
1,1990,3.9,IA,Iowa
1,1990,6.5,ID,Idaho
1,1990,3.8,IL,Illinois
1,1990,5,KS,Kansas
1,1990,5.8,KY,Kentucky
1,1990,,LA,Louisiana
1,1990,2.8,MA,Massachusetts
1,1990,3.4,MD,Maryland
1,1990,4.3,ME,Maine
1,1990,4.3,MI,Michigan
1,1990,3.5,MN,Minnesota
1,1990,5.1,MO,Missouri
1,1990,5.5,MS,Mississippi
1,1990,5.1,MT,Montana
1,1990,5.1,NC,North Carolina
1,1990,3.6,ND,North Dakota
1,1990,4,NE,Nebraska
1,1990,4.7,NH,New Hampshire
1,1990,3,NJ,New Jersey
1,1990,4.9,NM,New Mexico
1,1990,11.4,NV,Nevada
1,1990,3.2,NY,New York
1,1990,4.7,OH,Ohio
1,1990,7.7,OK,Oklahoma
1,1990,5.5,OR,Oregon
1,1990,3.3,PA,Pennsylvania
1,1990,3.7,RI,Rhode Island
1,1990,4.5,SC,South Carolina
1,1990,3.7,SD,South Dakota
1,1990,6.5,TN,Tennessee
1,1990,5.5,TX,Texas
1,1990,5.1,UT,Utah
1,1990,4.4,VA,Virginia
1,1990,4.5,VT,Vermont
1,1990,5.9,WA,Washington
1,1990,3.6,WI,Wisconsin
1,1990,5.3,WV,West Virginia
1,1990,6.6,WY,Wyoming
1,1995,5,AK,Alaska
1,1995,6,AL,Alabama
1,1995,6.3,AR,Arkansas
1,1995,6.2,AZ,Arizona
1,1995,,CA,California
1,1995,,CO,Colorado
1,1995,2.9,CT,Connecticut
1,1995,5,DC,Delaware
1,1995,3.2,DE,District of Columbia
1,1995,5.5,FL,Florida
1,1995,5.1,GA,Georgia
1,1995,4.6,HI,Hawaii
1,1995,3.7,IA,Iowa
1,1995,5.8,ID,Idaho
1,1995,3.2,IL,Illinois
1,1995,4.1,KS,Kansas
1,1995,5.9,KY,Kentucky
1,1995,,LA,Louisiana
1,1995,2.2,MA,Massachusetts
1,1995,3,MD,Maryland
1,1995,4.4,ME,Maine
1,1995,4.1,MI,Michigan
1,1995,3.4,MN,Minnesota
1,1995,5,MO,Missouri
1,1995,4.8,MS,Mississippi
1,1995,4.8,MT,Montana
1,1995,5,NC,North Carolina
1,1995,3.4,ND,North Dakota
1,1995,3.8,NE,Nebraska
1,1995,4.2,NH,New Hampshire
1,1995,3,NJ,New Jersey
1,1995,6.6,NM,New Mexico
1,1995,7.8,NV,Nevada
1,1995,3,NY,New York
1,1995,4.3,OH,Ohio
1,1995,6.6,OK,Oklahoma
1,1995,4.7,OR,Oregon
1,1995,3.2,PA,Pennsylvania
1,1995,3.6,RI,Rhode Island
1,1995,3.9,SC,South Carolina
1,1995,3.9,SD,South Dakota
1,1995,6.2,TN,Tennessee
1,1995,5.2,TX,Texas
1,1995,4.4,UT,Utah
1,1995,4.3,VA,Virginia
1,1995,4.7,VT,Vermont
1,1995,5.4,WA,Washington
1,1995,3.4,WI,Wisconsin
1,1995,5.2,WV,West Virginia
1,1995,6.6,WY,Wyoming
1,1999,5,AK,Alaska
1,1999,5.7,AL,Alabama
1,1999,6.2,AR,Arkansas
1,1999,4.6,AZ,Arizona
1,1999,,CA,California
1,1999,4.8,CO,Colorado
1,1999,3,CT,Connecticut
1,1999,4.5,DC,Delaware
1,1999,3.6,DE,District of Columbia
1,1999,5.1,FL,Florida
1,1999,4.1,GA,Georgia
1,1999,3.8,HI,Hawaii
1,1999,3.3,IA,Iowa
1,1999,5.4,ID,Idaho
1,1999,3.3,IL,Illinois
1,1999,3.4,KS,Kansas
1,1999,5.5,KY,Kentucky
1,1999,,LA,Louisiana
1,1999,2.5,MA,Massachusetts
1,1999,3.2,MD,Maryland
1,1999,5.1,ME,Maine
1,1999,3.8,MI,Michigan
1,1999,3.2,MN,Minnesota
1,1999,4.4,MO,Missouri
1,1999,5,MS,Mississippi
1,1999,2.8,MT,Montana
1,1999,4.6,NC,North Carolina
1,1999,4.4,ND,North Dakota
1,1999,3.7,NE,Nebraska
1,1999,5.1,NH,New Hampshire
1,1999,3,NJ,New Jersey
1,1999,4.6,NM,New Mexico
1,1999,7.8,NV,Nevada
1,1999,3.3,NY,New York
1,1999,3.9,OH,Ohio
1,1999,,OK,Oklahoma
1,1999,4.6,OR,Oregon
1,1999,3.1,PA,Pennsylvania
1,1999,2.7,RI,Rhode Island
1,1999,3.8,SC,South Carolina
1,1999,3.7,SD,South Dakota
1,1999,5.8,TN,Tennessee
1,1999,3.8,TX,Texas
1,1999,4,UT,Utah
1,1999,4.4,VA,Virginia
1,1999,4.4,VT,Vermont
1,1999,5,WA,Washington
1,1999,3.2,WI,Wisconsin
1,1999,4.9,WV,West Virginia
1,1999,5.7,WY,Wyoming
1,2000,3.9,AK,Alaska
1,2000,5.5,AL,Alabama
1,2000,6.4,AR,Arkansas
1,2000,4.6,AZ,Arizona
1,2000,,CA,California
1,2000,4.7,CO,Colorado
1,2000,3.3,CT,Connecticut
1,2000,3.9,DC,Delaware
1,2000,3.2,DE,District of Columbia
1,2000,5.1,FL,Florida
1,2000,3.3,GA,Georgia
1,2000,3.9,HI,Hawaii
1,2000,3.3,IA,Iowa
1,2000,5.5,ID,Idaho
1,2000,3.2,IL,Illinois
1,2000,3.6,KS,Kansas
1,2000,5.1,KY,Kentucky
1,2000,,LA,Louisiana
1,2000,2.5,MA,Massachusetts
1,2000,3.3,MD,Maryland
1,2000,5,ME,Maine
1,2000,3.9,MI,Michigan
1,2000,3.2,MN,Minnesota
1,2000,4.5,MO,Missouri
1,2000,5,MS,Mississippi
1,2000,4.2,MT,Montana
1,2000,4.5,NC,North Carolina
1,2000,3.4,ND,North Dakota
1,2000,3.7,NE,Nebraska
1,2000,4.8,NH,New Hampshire
1,2000,3,NJ,New Jersey
1,2000,5.1,NM,New Mexico
1,2000,9.9,NV,Nevada
1,2000,3,NY,New York
1,2000,4.2,OH,Ohio
1,2000,,OK,Oklahoma
1,2000,4.8,OR,Oregon
1,2000,3.1,PA,Pennsylvania
1,2000,2.9,RI,Rhode Island
1,2000,3.8,SC,South Carolina
1,2000,3.5,SD,South Dakota
1,2000,5.9,TN,Tennessee
1,2000,4,TX,Texas
1,2000,4.3,UT,Utah
1,2000,4.3,VA,Virginia
1,2000,4.1,VT,Vermont
1,2000,4.6,WA,Washington
1,2000,3.2,WI,Wisconsin
1,2000,5.1,WV,West Virginia
1,2000,5.8,WY,Wyoming
1,2001,4.3,AK,Alaska
1,2001,5.4,AL,Alabama
1,2001,6.2,AR,Arkansas
1,2001,4,AZ,Arizona
1,2001,,CA,California
1,2001,4.7,CO,Colorado
1,2001,3.2,CT,Connecticut
1,2001,3.9,DC,Delaware
1,2001,2.9,DE,District of Columbia
1,2001,5.2,FL,Florida
1,2001,3.1,GA,Georgia
1,2001,4,HI,Hawaii
1,2001,3.3,IA,Iowa
1,2001,5.3,ID,Idaho
1,2001,3.2,IL,Illinois
1,2001,3.4,KS,Kansas
1,2001,5.1,KY,Kentucky
1,2001,,LA,Louisiana
1,2001,2.4,MA,Massachusetts
1,2001,3,MD,Maryland
1,2001,4.7,ME,Maine
1,2001,3.9,MI,Michigan
1,2001,3.2,MN,Minnesota
1,2001,4.2,MO,Missouri
1,2001,5,MS,Mississippi
1,2001,4.2,MT,Montana
1,2001,4.6,NC,North Carolina
1,2001,2.9,ND,North Dakota
1,2001,3.6,NE,Nebraska
1,2001,4.4,NH,New Hampshire
1,2001,3.4,NJ,New Jersey
1,2001,4.9,NM,New Mexico
1,2001,6.3,NV,Nevada
1,2001,3.5,NY,New York
1,2001,4,OH,Ohio
1,2001,,OK,Oklahoma
1,2001,4.8,OR,Oregon
1,2001,3.1,PA,Pennsylvania
1,2001,3.2,RI,Rhode Island
1,2001,3.6,SC,South Carolina
1,2001,3.3,SD,South Dakota
1,2001,5.2,TN,Tennessee
1,2001,4,TX,Texas
1,2001,4.2,UT,Utah
1,2001,4.2,VA,Virginia
1,2001,4.3,VT,Vermont
1,2001,4.5,WA,Washington
1,2001,3.2,WI,Wisconsin
1,2001,5.2,WV,West Virginia
1,2001,5.8,WY,Wyoming
1,2002,4.6,AK,Alaska
1,2002,5.4,AL,Alabama
1,2002,6.2,AR,Arkansas
1,2002,4.8,AZ,Arizona
1,2002,,CA,California
1,2002,4.7,CO,Colorado
1,2002,3.3,CT,Connecticut
1,2002,3.5,DC,Delaware
1,2002,2.4,DE,District of Columbia
1,2002,5.1,FL,Florida
1,2002,2.5,GA,Georgia
1,2002,3.7,HI,Hawaii
1,2002,3.1,IA,Iowa
1,2002,5.3,ID,Idaho
1,2002,2.9,IL,Illinois
1,2002,3.6,KS,Kansas
1,2002,5.2,KY,Kentucky
1,2002,3.3,LA,Louisiana
1,2002,2.5,MA,Massachusetts
1,2002,3.4,MD,Maryland
1,2002,4.6,ME,Maine
1,2002,3.8,MI,Michigan
1,2002,3.1,MN,Minnesota
1,2002,4,MO,Missouri
1,2002,4.9,MS,Mississippi
1,2002,4,MT,Montana
1,2002,4.4,NC,North Carolina
1,2002,2.9,ND,North Dakota
1,2002,3.6,NE,Nebraska
1,2002,4.3,NH,New Hampshire
1,2002,3.4,NJ,New Jersey
1,2002,4.4,NM,New Mexico
1,2002,7.1,NV,Nevada
1,2002,3.4,NY,New York
1,2002,4,OH,Ohio
1,2002,,OK,Oklahoma
1,2002,4.6,OR,Oregon
1,2002,3.1,PA,Pennsylvania
1,2002,3.2,RI,Rhode Island
1,2002,3.4,SC,South Carolina
1,2002,3.3,SD,South Dakota
1,2002,5.1,TN,Tennessee
1,2002,3.9,TX,Texas
1,2002,4.1,UT,Utah
1,2002,4.2,VA,Virginia
1,2002,4.2,VT,Vermont
1,2002,4.6,WA,Washington
1,2002,3.2,WI,Wisconsin
1,2002,5.2,WV,West Virginia
1,2002,5.4,WY,Wyoming
1,2003,3.9,AK,Alaska
1,2003,5.2,AL,Alabama
1,2003,6,AR,Arkansas
1,2003,4.4,AZ,Arizona
1,2003,,CA,California
1,2003,4.3,CO,Colorado
1,2003,3.2,CT,Connecticut
1,2003,3.9,DC,Delaware
1,2003,2,DE,District of Columbia
1,2003,5,FL,Florida
1,2003,3.2,GA,Georgia
1,2003,,HI,Hawaii
1,2003,2.8,IA,Iowa
1,2003,5.2,ID,Idaho
1,2003,2.8,IL,Illinois
1,2003,3.3,KS,Kansas
1,2003,5,KY,Kentucky
1,2003,3.4,LA,Louisiana
1,2003,2.5,MA,Massachusetts
1,2003,3.2,MD,Maryland
1,2003,4.4,ME,Maine
1,2003,3.5,MI,Michigan
1,2003,3,MN,Minnesota
1,2003,3.9,MO,Missouri
1,2003,4.6,MS,Mississippi
1,2003,3.9,MT,Montana
1,2003,4.2,NC,North Carolina
1,2003,2.9,ND,North Dakota
1,2003,3.4,NE,Nebraska
1,2003,4.1,NH,New Hampshire
1,2003,3.2,NJ,New Jersey
1,2003,5.2,NM,New Mexico
1,2003,7.3,NV,Nevada
1,2003,3.2,NY,New York
1,2003,3.7,OH,Ohio
1,2003,,OK,Oklahoma
1,2003,4.3,OR,Oregon
1,2003,3.1,PA,Pennsylvania
1,2003,3.1,RI,Rhode Island
1,2003,3.3,SC,South Carolina
1,2003,3,SD,South Dakota
1,2003,5,TN,Tennessee
1,2003,3.8,TX,Texas
1,2003,4,UT,Utah
1,2003,4,VA,Virginia
1,2003,4,VT,Vermont
1,2003,4.4,WA,Washington
1,2003,3.1,WI,Wisconsin
1,2003,5.2,WV,West Virginia
1,2003,5.4,WY,Wyoming
1,2004,4.3,AK,Alaska
1,2004,4.9,AL,Alabama
1,2004,6.1,AR,Arkansas
1,2004,4.3,AZ,Arizona
1,2004,,CA,California
1,2004,4.4,CO,Colorado
1,2004,3.1,CT,Connecticut
1,2004,3.7,DC,Delaware
1,2004,1.8,DE,District of Columbia
1,2004,4.7,FL,Florida
1,2004,,GA,Georgia
1,2004,,HI,Hawaii
1,2004,2.8,IA,Iowa
1,2004,5,ID,Idaho
1,2004,2.6,IL,Illinois
1,2004,3.3,KS,Kansas
1,2004,4.9,KY,Kentucky
1,2004,,LA,Louisiana
1,2004,2.2,MA,Massachusetts
1,2004,3.2,MD,Maryland
1,2004,4.3,ME,Maine
1,2004,3.5,MI,Michigan
1,2004,2.8,MN,Minnesota
1,2004,3.8,MO,Missouri
1,2004,4.5,MS,Mississippi
1,2004,3.8,MT,Montana
1,2004,4.2,NC,North Carolina
1,2004,3.1,ND,North Dakota
1,2004,3.4,NE,Nebraska
1,2004,4,NH,New Hampshire
1,2004,3,NJ,New Jersey
1,2004,4.6,NM,New Mexico
1,2004,6.3,NV,Nevada
1,2004,3,NY,New York
1,2004,3.6,OH,Ohio
1,2004,4.9,OK,Oklahoma
1,2004,4.1,OR,Oregon
1,2004,3,PA,Pennsylvania
1,2004,3.1,RI,Rhode Island
1,2004,3.2,SC,South Carolina
1,2004,3.1,SD,South Dakota
1,2004,4.9,TN,Tennessee
1,2004,3.6,TX,Texas
1,2004,4.1,UT,Utah
1,2004,3.9,VA,Virginia
1,2004,3.9,VT,Vermont
1,2004,4.3,WA,Washington
1,2004,3,WI,Wisconsin
1,2004,5,WV,West Virginia
1,2004,5.2,WY,Wyoming
1,2005,4.3,AK,Alaska
1,2005,4.9,AL,Alabama
1,2005,6,AR,Arkansas
1,2005,4.2,AZ,Arizona
1,2005,,CA,California
1,2005,4.4,CO,Colorado
1,2005,3,CT,Connecticut
1,2005,3.8,DC,Delaware
1,2005,2,DE,District of Columbia
1,2005,4.6,FL,Florida
1,2005,,GA,Georgia
1,2005,,HI,Hawaii
1,2005,2.7,IA,Iowa
1,2005,5,ID,Idaho
1,2005,2.6,IL,Illinois
1,2005,3.1,KS,Kansas
1,2005,4.6,KY,Kentucky
1,2005,,LA,Louisiana
1,2005,2.2,MA,Massachusetts
1,2005,3.1,MD,Maryland
1,2005,4.1,ME,Maine
1,2005,3.4,MI,Michigan
1,2005,,MN,Minnesota
1,2005,3.6,MO,Missouri
1,2005,4.4,MS,Mississippi
1,2005,4.5,MT,Montana
1,2005,4.1,NC,North Carolina
1,2005,2.9,ND,North Dakota
1,2005,3.3,NE,Nebraska
1,2005,3.9,NH,New Hampshire
1,2005,2.9,NJ,New Jersey
1,2005,4.6,NM,New Mexico
1,2005,7.4,NV,Nevada
1,2005,2.9,NY,New York
1,2005,3.5,OH,Ohio
1,2005,5.6,OK,Oklahoma
1,2005,4.2,OR,Oregon
1,2005,2.3,PA,Pennsylvania
1,2005,3,RI,Rhode Island
1,2005,2.9,SC,South Carolina
1,2005,2.8,SD,South Dakota
1,2005,4.6,TN,Tennessee
1,2005,3.3,TX,Texas
1,2005,4.1,UT,Utah
1,2005,4,VA,Virginia
1,2005,3.6,VT,Vermont
1,2005,4.3,WA,Washington
1,2005,2.9,WI,Wisconsin
1,2005,5.1,WV,West Virginia
1,2005,5.2,WY,Wyoming
1,2006,4.2,AK,Alaska
1,2006,4.9,AL,Alabama
1,2006,5.8,AR,Arkansas
1,2006,4,AZ,Arizona
1,2006,,CA,California
1,2006,4.5,CO,Colorado
1,2006,3.1,CT,Connecticut
1,2006,3.8,DC,Delaware
1,2006,2.1,DE,District of Columbia
1,2006,4.7,FL,Florida
1,2006,,GA,Georgia
1,2006,,HI,Hawaii
1,2006,2.7,IA,Iowa
1,2006,5,ID,Idaho
1,2006,2.5,IL,Illinois
1,2006,3.1,KS,Kansas
1,2006,5,KY,Kentucky
1,2006,,LA,Louisiana
1,2006,2.3,MA,Massachusetts
1,2006,3,MD,Maryland
1,2006,4.2,ME,Maine
1,2006,3.5,MI,Michigan
1,2006,,MN,Minnesota
1,2006,3.8,MO,Missouri
1,2006,4.8,MS,Mississippi
1,2006,4.4,MT,Montana
1,2006,4,NC,North Carolina
1,2006,3,ND,North Dakota
1,2006,3.4,NE,Nebraska
1,2006,4.1,NH,New Hampshire
1,2006,3,NJ,New Jersey
1,2006,4.3,NM,New Mexico
1,2006,6.7,NV,Nevada
1,2006,3.1,NY,New York
1,2006,3.5,OH,Ohio
1,2006,5.3,OK,Oklahoma
1,2006,4,OR,Oregon
1,2006,2.8,PA,Pennsylvania
1,2006,3,RI,Rhode Island
1,2006,2.9,SC,South Carolina
1,2006,3.2,SD,South Dakota
1,2006,4.6,TN,Tennessee
1,2006,3.4,TX,Texas
1,2006,3.9,UT,Utah
1,2006,4,VA,Virginia
1,2006,3.8,VT,Vermont
1,2006,4.1,WA,Washington
1,2006,3,WI,Wisconsin
1,2006,5,WV,West Virginia
1,2006,5.1,WY,Wyoming
1,2007,4.3,AK,Alaska
1,2007,4.5,AL,Alabama
1,2007,5.9,AR,Arkansas
1,2007,4,AZ,Arizona
1,2007,,CA,California
1,2007,4.4,CO,Colorado
1,2007,3.2,CT,Connecticut
1,2007,3.7,DC,Delaware
1,2007,1.7,DE,District of Columbia
1,2007,4.6,FL,Florida
1,2007,,GA,Georgia
1,2007,,HI,Hawaii
1,2007,2.5,IA,Iowa
1,2007,4.9,ID,Idaho
1,2007,2.6,IL,Illinois
1,2007,3.4,KS,Kansas
1,2007,4.6,KY,Kentucky
1,2007,,LA,Louisiana
1,2007,2.3,MA,Massachusetts
1,2007,2.9,MD,Maryland
1,2007,4.2,ME,Maine
1,2007,3.4,MI,Michigan
1,2007,,MN,Minnesota
1,2007,3.8,MO,Missouri
1,2007,4.5,MS,Mississippi
1,2007,4,MT,Montana
1,2007,4,NC,North Carolina
1,2007,2.9,ND,North Dakota
1,2007,3.4,NE,Nebraska
1,2007,3.8,NH,New Hampshire
1,2007,3,NJ,New Jersey
1,2007,4.2,NM,New Mexico
1,2007,6.4,NV,Nevada
1,2007,2.9,NY,New York
1,2007,3.4,OH,Ohio
1,2007,5.2,OK,Oklahoma
1,2007,3.9,OR,Oregon
1,2007,2.8,PA,Pennsylvania
1,2007,2.8,RI,Rhode Island
1,2007,3,SC,South Carolina
1,2007,3.1,SD,South Dakota
1,2007,4.3,TN,Tennessee
1,2007,3.3,TX,Texas
1,2007,3.7,UT,Utah
1,2007,3.8,VA,Virginia
1,2007,3.6,VT,Vermont
1,2007,4,WA,Washington
1,2007,2.9,WI,Wisconsin
1,2007,5.1,WV,West Virginia
